Title,Land Size,Location,Total Price,Monthly Payment
House For Sale In Torayaya,"Beds-3, Baths-1 Size-1925sqft",,"4,800,000","68,200"
House For Sale In Matara,"Beds-5, Baths-2 Size-2900sqft",,"13,800,000","196,074"
Land For Sale In Bandaragama,60 Perches,,"13,500,000","191,812"
Apartment For Rent In Malabe,"Beds-2, Baths-2 Size-1140sqft",,,"95,000"
House For Sale In Nugegoda,"Beds-8, Baths-6 Size-8000sqft",,,
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-sqft",,"26,000,000","369,416"
House For Sale In Baddegama,"Beds-5, Baths-3 Size-sqft",,"40,000,000","568,332"
House For Sale In Ekala,"Beds-3, Baths-1 Size-1700sqft",,"7,000,000","99,458"
House For Sale In Homagama,"Beds-4, Baths-3 Size-2722sqft",,"18,500,000","262,853"
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
Land For Sale In Homagama,39 Perches,,"1,350,000","19,181"
Land For Sale In Kadawatha,4 Perches,,,
House For Rent In Talawatugoda,"Beds-2, Baths-1 Size-1300sqft",,,"50,000"
Land For Sale In Bandaragama,20 Perches,,"8,500,000","120,771"
Room For Rent In Dehiwala,"Beds-1, Baths-1",,,"20,000"
Land For Sale In Negombo,10 Perches,,"4,500,000","63,937"
House For Sale In Kelaniya,"Beds-4, Baths-3 Size-1200sqft",,"20,000,000","284,166"
House For Sale In Kahathuduwa,"Beds-3, Baths-2 Size-2000sqft",,"2,000,000","28,417"
House For Sale In Homagama,"Beds-3, Baths-1 Size-1500sqft",,"6,500,000","92,354"
Shop For Sale In Jaffna,825sqft,,,
House For Sale In Gampaha,"Beds-4, Baths-2 Size-1500sqft",,,
Shop For Sale In Gonapola Junction,12sqft,,"11,500,000","163,395"
Land For Sale In Moratuwa,8 Perches,,"7,600,000","107,983"
Building For Rent In Ambalangoda,6100sqft,,"30,000",
Land For Sale In Bandaragama,60 Perches,,"13,500,000","191,812"
Apartment For Rent In Malabe,"Beds-2, Baths-2 Size-1140sqft",,,"95,000"
House For Sale In Nugegoda,"Beds-8, Baths-6 Size-8000sqft",,,
House For Sale In Piliyandala,"Beds-3, Baths-2 Size-sqft",,"26,000,000","369,416"
House For Sale In Baddegama,"Beds-5, Baths-3 Size-sqft",,"40,000,000","568,332"
House For Sale In Ekala,"Beds-3, Baths-1 Size-1700sqft",,"7,000,000","99,458"
House For Sale In Homagama,"Beds-4, Baths-3 Size-2722sqft",,"18,500,000","262,853"
Land For Sale In Kumbukwewa,10.5 Acres,,"52,500,000","745,936"
Land For Sale In Homagama,39 Perches,,"1,350,000","19,181"
Land For Sale In Kadawatha,4 Perches,,,
House For Rent In Talawatugoda,"Beds-2, Baths-1 Size-1300sqft",,,"50,000"
Land For Sale In Bandaragama,20 Perches,,"8,500,000","120,771"
Room For Rent In Dehiwala,"Beds-1, Baths-1",,,"20,000"
Land For Sale In Negombo,10 Perches,,"4,500,000","63,937"
House For Sale In Kelaniya,"Beds-4, Baths-3 Size-1200sqft",,"20,000,000","284,166"
House For Sale In Kahathuduwa,"Beds-3, Baths-2 Size-2000sqft",,"2,000,000","28,417"
House For Sale In Homagama,"Beds-3, Baths-1 Size-1500sqft",,"6,500,000","92,354"
