Title,Land Size,Location,Total Price,Monthly Payment,Image URL
Land For Sale In Kuliyapitiya,"Land Size :
1.5
                                                    Acres","Location :

Kurunegala .
                                                Kuliyapitiya","11,000,000","156,291",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
House For Sale In Jayanthipura,"Features :
Beds-3 ,
                                                    Baths-2 ,
                                                        Size-2000 sqft","Location :

Polonnaruwa .
                                                Jayanthipura","6,500,000","92,354",https://www.patpat.lk/resources/images/ad-types/icon-new-premire.svg
Land For Sale In Homagama,"Land Size :
6
                                                Perches","Location :

Colombo .
                                            Homagama
                                                                                            
                                                     |  Land","4,500,000","63,937",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/4a61981d1f31d04fc9433406c0e3ef0c-505032.jpeg
Land For Sale In Kirindiwela,"Land Size :
10
                                                Perches","Location :

Gampaha .
                                            Kirindiwela
                                                                                            
                                                     |  Land","2,750,000","39,073",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/9739462df0294a9a8a390e72c7cfd917-954608.jpeg
Land For Sale In Kadawatha,"Land Size :
6
                                                Perches","Location :

Gampaha .
                                            Kadawatha
                                                                                            
                                                     |  Land","10,200,000","144,925",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/ec3d6b4cb49514749485817bedcd1cac-228232.jpeg
Land For Sale In Bandaragama,"Land Size :
60
                                                Perches","Location :

Kalutara .
                                            Bandaragama
                                                                                            
                                                     |  Land","13,500,000","191,812",https://www.patpat.lk/resources/images/ad-types/icon-new-boost.svg
Apartment For Rent In Malabe,"Features :
Beds-2 ,
                                                Baths-2 ,
                                                    Size-1140 sqft","Location :

Colombo .
                                            Malabe
                                                                                            
                                                     |  Apartments",,"95,000",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c932dd02f7672a215654028ef6739a95-174291.jpeg
House For Sale In Nugegoda,"Features :
Beds-8 ,
                                                Baths-6 ,
                                                    Size-8000 sqft","Location :

Colombo .
                                            Nugegoda
                                                                                            
                                                     |  House",,,https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/60bb2ccb6543aae11c9828323f0d51dd-640888.jpeg
House For Sale In Piliyandala,"Features :
Beds-3 ,
                                                Baths-2 ,
                                                    Size- sqft","Location :

Colombo .
                                            Piliyandala
                                                                                            
                                                     |  House","26,000,000","369,416",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fe1f515d46572d8ab4b57b3e0f2323ed-919580.jpeg
House For Sale In Baddegama,"Features :
Beds-5 ,
                                                Baths-3 ,
                                                    Size- sqft","Location :

Galle .
                                            Baddegama
                                                                                            
                                                     |  House","40,000,000","568,332",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/c9d1f8a8f1cb66cddb046fd1e11d84e6-936945.jpeg
House For Sale In Ekala,"Features :
Beds-3 ,
                                                Baths-1 ,
                                                    Size-1700 sqft","Location :

Gampaha .
                                            Ekala
                                                                                            
                                                     |  House","7,000,000","99,458",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/fe58098216dbff268a85dccd970f3b291312425_1.jpeg
House For Sale In Homagama,"Features :
Beds-4 ,
                                                Baths-3 ,
                                                    Size-2722 sqft","Location :

Colombo .
                                            Homagama
                                                                                            
                                                     |  House","18,500,000","262,853",https://patpat-s3-live.s3.amazonaws.com/uploads/thumb/20dbb0b9c73f23af70f9f95aae86c12c-501501.jpeg
